1,No Discount,0.0000,No Discount,No Discount,2011/05/01 0:00:00,2014/11/30 0:00:00,0,,0290c4f5-191f-4337-ab6b-0a2dde03cbf9,2011/04/01 0:00:00
2,Volume Discount 11 to 14,0.0200,Volume Discount,Reseller,2011/05/31 0:00:00,2014/05/30 0:00:00,11,14,d7542ee7-15db-4541-985c-5cc27aef26d6,2011/05/01 0:00:00
3,Volume Discount 15 to 24,0.0500,Volume Discount,Reseller,2011/05/31 0:00:00,2014/05/30 0:00:00,15,24,4bdbcc01-8cf7-40a9-b643-40ec5b717491,2011/05/01 0:00:00
4,Volume Discount 25 to 40,0.1000,Volume Discount,Reseller,2011/05/31 0:00:00,2014/05/30 0:00:00,25,40,504b5e85-8f3f-4ebc-9e1d-c1bc5dea9aa8,2011/05/01 0:00:00
5,Volume Discount 41 to 60,0.1500,Volume Discount,Reseller,2011/05/31 0:00:00,2014/05/30 0:00:00,41,60,677e1d9d-944f-4e81-90e8-47eb0a82d48c,2011/05/01 0:00:00
6,Volume Discount over 60,0.2000,Volume Discount,Reseller,2011/05/31 0:00:00,2014/05/30 0:00:00,61,,8157f569-4e8d-46b6-9347-5d0f726a9439,2011/05/01 0:00:00
7,Mountain-100 Clearance Sale,0.3500,Discontinued Product,Reseller,2012/04/13 0:00:00,2012/05/29 0:00:00,0,,7df15bf5-6c05-47e7-80a4-22bd1ce59a72,2012/03/14 0:00:00
8,Sport Helmet Discount-2002,0.1000,Seasonal Discount,Reseller,2012/05/30 0:00:00,2012/06/29 0:00:00,0,,20c5d2cc-a38f-48f8-ac9a-8f15943e52ae,2012/04/30 0:00:00
9,Road-650 Overstock,0.3000,Excess Inventory,Reseller,2012/05/30 0:00:00,2012/07/30 0:00:00,0,,0cf8472b-f9e6-4945-9e09-549d7dde2198,2012/04/30 0:00:00
10,Mountain Tire Sale,0.5000,Excess Inventory,Customer,2013/05/14 0:00:00,2013/07/29 0:00:00,0,,220444ad-2ef3-4e4c-87e9-3aa6ee39a877,2013/04/14 0:00:00
11,Sport Helmet Discount-2003,0.1500,Seasonal Discount,Reseller,2013/05/30 0:00:00,2013/06/29 0:00:00,0,,e72dab1d-f44d-448b-9fe2-f259a2f0210d,2013/04/30 0:00:00
12,LL Road Frame Sale,0.3500,Excess Inventory,Reseller,2013/05/30 0:00:00,2013/07/14 0:00:00,0,,c0af1c89-9722-4235-9248-3fba4d9e5841,2013/04/30 0:00:00
13,Touring-3000 Promotion,0.1500,New Product,Reseller,2013/05/30 0:00:00,2013/08/29 0:00:00,0,,5061cce4-e021-45a8-9a75-dfb36cbbce85,2013/04/30 0:00:00
14,Touring-1000 Promotion,0.2000,New Product,Reseller,2013/05/30 0:00:00,2013/08/29 0:00:00,0,,1af84a9e-a98c-4bd9-b48f-dc2b8b6b010b,2013/04/30 0:00:00
15,Half-Price Pedal Sale,0.5000,Seasonal Discount,Customer,2013/07/14 0:00:00,2013/08/14 0:00:00,0,,03e3594d-6ebb-46a6-b8ee-a9289c0c2e47,2013/06/14 0:00:00
16,Mountain-500 Silver Clearance Sale,0.4000,Discontinued Product,Reseller,2014/03/31 0:00:00,2014/05/30 0:00:00,0,,eb7cb484-bccf-4d2d-bf73-521b20014174,2014/03/01 0:00:00
